,AcresBurned,Counties,CountyIds,Latitude,Longitude,ArchiveYear
1060,153336.0,Butte,4,39.8134,-121.4347,2018
1063,96901.0,Mariposa,22,37.6549,-119.88581,2018
1071,46150.0,Shasta,45,40.896,-122.219,2018
1072,39387.0,Modoc,25,41.38544,-121.04386,2018
1073,38008.0,Siskiyou,47,41.893332,-122.534655,2018
1074,36450.0,Tuolumne,55,38.349,-119.929,2018
1075,23136.0,Orange,30,33.69888,-117.52055,2018
1076,18703.0,Lassen,18,40.633536,-120.868091,2018
1077,15185.0,Lake,17,39.0674,-122.59848,2018
1079,12300.0,San Joaquin,39,38.052055,-120.945482,2018
1080,6974.0,Mono,26,38.347395,-119.45186,2018
1081,4564.0,Merced,24,37.39339,-120.34207,2018
1082,4531.0,Ventura,56,34.22685,-118.93444,2018
1084,4064.0,Madera,20,37.571,-119.118,2018
1085,3889.0,Tehama,52,40.22027778,-122.18,2018
1086,3716.0,Tehama,52,40.35068,-121.77867,2018
1087,3674.0,Humboldt,12,41.07944,-123.688056,2018
1088,3380.0,Los Angeles,19,34.48229,-118.60858,2018
1089,2995.0,Kings,16,35.97896,-119.98329,2018
1090,2956.0,Tehama,52,39.94355,-122.3571,2018
1091,2950.0,Kern,15,35.37444,-118.83556,2018
1092,2883.0,Inyo,14,36.6734,-118.21881,2018
1093,2490.0,Napa,28,38.69601,-122.44468,2018
1094,2290.0,Glenn,11,39.64978,-122.58218,2018
1095,2225.0,Monterey,27,35.847778,-120.343056,2018
1096,2162.0,Solano,48,38.431278,-122.043747,2018
1097,2100.0,Modoc,25,41.29363,-120.11461,2018
1098,2070.0,Inyo,14,37.40208,-118.50235,2018
1099,1900.0,Shasta,45,40.99344,-121.52225,2018
1100,1756.0,Merced,24,36.85156,-120.77206,2018
1101,1751.0,Trinity,53,40.616251,-123.52019,2018
1102,1678.0,Shasta,45,40.50318,-122.42308,2018
1103,1500.0,Solano,48,38.21396,-121.9424,2018
1104,1500.0,San Luis Obispo,40,35.73629,-120.75593,2018
1105,1352.0,Los Angeles,19,34.5486,-118.31138,2018
1106,1350.0,San Bernardino,36,34.095568,-116.958806,2018
1107,1314.0,San Benito,35,36.40755,-120.99322,2018
1108,1265.0,Inyo,14,36.71537,-118.08449,2018
1109,1261.0,Riverside,33,33.62924,-117.05992,2018
1110,1200.0,Sutter,51,39.186144,-121.792885,2018
1111,1120.0,Placer,31,39.268611,-120.658333,2018
1112,1014.0,Santa Barbara,42,35.11416667,-120.09222222,2018
1113,993.0,Kern,15,35.387408,-118.817934,2018
1114,972.0,Mendocino,23,39.82877,-123.08489,2018
1115,962.0,Butte,4,39.77124,-121.76859,2018
1116,856.0,Tehama,52,40.33682,-121.93908,2018
1117,825.0,Amador,3,38.42623,-120.95408,2018
1118,822.0,Yolo,57,38.59694444,-121.99388889,2018
1119,700.0,Placer,31,38.82426,-121.451307,2018
1120,668.0,Tulare,54,35.79012,-118.7393,2018
1121,650.0,Monterey,27,36.00912,-120.82226,2018
1122,646.0,Lassen,18,40.3768,-120.36403,2018
1123,640.0,Alameda,1,37.75646,-121.60646,2018
1124,573.0,Tuolumne,55,37.83388,-120.61746,2018
1125,550.0,Butte,4,39.36529,-121.51707,2018
1126,513.0,San Benito,35,36.378333,-120.901167,2018
1127,504.0,San Diego,37,32.833674,-116.7311,2018
1128,484.0,Alameda,1,37.75375,-121.57918,2018
1129,441.0,Lassen,18,40.316137,-120.45053,2018
1130,400.0,Monterey,27,36.35502,-121.1563,2018
1131,375.0,Monterey,27,35.95515,-120.86256,2018
1132,367.0,Kern,15,35.51777778,-118.6525,2018
1133,365.0,San Diego,37,33.07892,-116.91845,2018
1134,360.0,Madera,20,37.38789,-119.68912,2018
1135,347.0,Butte,4,39.59872,-121.78208,2018
1136,338.0,Inyo,14,37.735461,-118.970443,2018
1137,328.0,Shasta,45,40.52909,-122.17457,2018
1138,320.0,Santa Clara,43,37.449425,-121.88807,2018
1139,316.0,El Dorado,9,38.539806,-121.059979,2018
1140,300.0,Trinity,53,40.60402,-122.9144,2018
1141,300.0,Madera,20,37.10181,-119.623981,2018
1142,300.0,San Diego,37,33.389425,-117.502405,2018
1144,290.0,Calaveras,5,38.061298,-120.872244,2018
1145,289.0,Madera,20,37.197039,-120.002619,2018
1146,282.0,Riverside,33,33.836101,-117.607577,2018
1147,278.0,San Benito,35,36.65351,-121.0454,2018
1148,268.0,Contra Costa,7,37.94714,-121.9921,2018
1149,268.0,Tehama,52,40.18395,-122.27574,2018
1150,265.0,San Diego,37,32.63046,-116.46674,2018
1151,261.0,Tehama,52,40.34256,-121.43025,2018
1152,260.0,San Luis Obispo,40,35.33916,-120.71488,2018
1153,258.0,Santa Barbara,42,34.0232,-119.76576,2018
1154,250.0,San Diego,37,33.076239,-116.902985,2018
1155,247.0,Contra Costa,7,37.89612,-121.85847,2018
1156,224.0,Siskiyou,47,41.70877,-122.47293,2018
1157,215.0,Siskiyou,47,41.085,-123.051,2018
1158,215.0,San Benito,35,36.37532,-120.862579,2018
1159,207.0,San Diego,37,33.41476,-117.24044,2018
1160,205.0,Riverside,33,33.571763,-116.500058,2018
1161,200.0,Kern,15,34.91482,-118.92485,2018
1162,200.0,Merced,24,37.33924,-120.24315,2018
1163,191.0,Butte,4,39.491737,-121.637759,2018
1164,186.0,Ventura,56,34.26734825,-118.64381589,2018
1165,185.0,Merced,24,37.05876,-121.176354,2018
1166,175.0,Los Angeles,19,37.97638,-122.5275,2018
1167,175.0,Orange,30,33.55132,-117.72044,2018
1168,172.0,Santa Barbara,42,34.576944,-119.61416,2018
1169,170.0,Tehama,52,40.12791,-122.19792,2018
1170,167.0,Monterey,27,36.18401,-120.69955,2018
1171,167.0,Lassen,18,40.34822,-120.82497,2018
1172,166.0,Los Angeles,19,34.2325,-117.846111,2018
1173,163.0,Tuolumne,55,37.80785,-120.30187,2018
1174,160.0,Solano,48,38.45673,-121.94658,2018
1175,155.0,Shasta,45,40.36888889,-122.89055556,2018
1176,155.0,Orange,30,33.787838,-117.746625,2018
1177,154.0,Riverside,33,33.925862,-117.654299,2018
1178,152.0,Marin,21,38.02447,-122.727,2018
1179,150.0,Ventura,56,34.30166667,-119.09916667,2018
1180,150.0,Monterey,27,35.97677,-121.24898,2018
1181,150.0,El Dorado,9,38.94388,-120.92611,2018
1182,147.0,San Bernardino,36,34.18075,-117.43184,2018
1183,136.0,Calaveras,5,38.08424,-120.46078,2018
1184,135.0,Napa,28,38.51943,-122.18353,2018
