,Year, County Code, Crop Name, Production, Unit,Price P/I ($), Price P/U,Total Value($)
16,2017,7,ALMONDS ALL ,29700.0,Tons ,0.16,4653.03,138195000.0
18,2017,11,ALMONDS ALL ,64200.0,Tons ,0.07,4785.64,307238000.0
19,2017,19,ALMONDS ALL ,258000.0,Tons ,0.02,4526.0,1167708000.0
20,2017,21,ALMONDS ALL ,44200.0,Tons ,0.11,4912.22,217120000.0
21,2017,29,ALMONDS ALL ,264000.0,Tons ,0.02,4676.98,1234724000.0
22,2017,31,ALMONDS ALL ,30500.0,Tons ,0.15,4707.08,143566000.0
23,2017,39,ALMONDS ALL ,150000.0,Tons ,0.03,4690.31,703546000.0
24,2017,47,ALMONDS ALL ,122000.0,Tons ,0.04,4885.86,596075000.0
25,2017,67,ALMONDS ALL ,110.0,Tons ,42.73,4700.0,517000.0
26,2017,77,ALMONDS ALL ,75400.0,Tons ,0.06,4810.62,362721000.0
27,2017,95,ALMONDS ALL ,8970.0,Tons ,0.48,4305.35,38619000.0
28,2017,99,ALMONDS ALL ,212000.0,Tons ,0.02,4848.0,1027776000.0
29,2017,101,ALMONDS ALL ,7730.0,Tons ,0.61,4693.14,36278000.0
30,2017,103,ALMONDS ALL ,10800.0,Tons ,0.46,4938.98,53341000.0
31,2017,107,ALMONDS ALL ,68700.0,Tons ,0.07,4640.0,318768000.0
32,2017,113,ALMONDS ALL ,27000.0,Tons ,0.16,4260.0,115020000.0
33,2017,115,ALMONDS ALL ,952.0,Tons ,6.09,5797.27,5519000.0
34,2017,991,ALMONDS ALL ,2742.0,Tons ,2.92,7999.87,21935640.0
36,2017,53,ANISE (FENNEL) ,15700.0,Tons ,0.07,1140.0,17898000.0
37,2017,991,ANISE (FENNEL) ,1960.0,Tons ,0.3,587.24,1151000.0
132,2017,19,APPLES ALL ,4240.0,Tons ,0.35,1491.98,6326000.0
133,2017,45,APPLES ALL ,516.0,Tons ,1.99,1029.07,531000.0
134,2017,61,APPLES ALL ,28.0,Tons ,107.14,3000.0,84000.0
136,2017,65,APPLES ALL ,60.0,Tons ,31.94,1916.67,115000.0
137,2017,69,APPLES ALL ,7670.0,Tons ,0.04,315.12,2417000.0
138,2017,71,APPLES ALL ,710.0,Tons ,2.99,2125.35,1509000.0
139,2017,73,APPLES ALL ,244.0,Tons ,8.11,1979.51,483000.0
140,2017,77,APPLES ALL ,35700.0,Tons ,0.02,646.44,23078000.0
141,2017,87,APPLES ALL ,40000.0,Tons ,0.01,340.78,13631000.0
143,2017,97,APPLES ALL ,8470.0,Tons ,0.05,393.98,3337000.0
144,2017,991,APPLES ALL ,1967.0,Tons ,0.72,1420.49,2794100.0
146,2017,13,APRICOTS ALL ,356.0,Tons ,9.0,3205.06,1141000.0
147,2017,19,APRICOTS ALL ,9020.0,Tons ,0.17,1550.67,13987000.0
148,2017,31,APRICOTS ALL ,5940.0,Tons ,0.33,1969.7,11700000.0
149,2017,65,APRICOTS ALL ,40.0,Tons ,49.69,1987.5,79500.0
150,2017,69,APRICOTS ALL ,936.0,Tons ,1.87,1748.93,1637000.0
151,2017,77,APRICOTS ALL ,5580.0,Tons ,0.12,671.86,3749000.0
152,2017,85,APRICOTS ALL ,179.0,Tons ,6.52,1167.6,209000.0
153,2017,99,APRICOTS ALL ,31600.0,Tons ,0.02,648.99,20508000.0
154,2017,107,APRICOTS ALL ,3000.0,Tons ,0.8,2410.0,7230000.0
155,2017,991,APRICOTS ALL ,2022.0,Tons ,0.53,1066.77,2157000.0
157,2017,53,ARTICHOKES ,28200.0,Tons ,0.06,1750.0,49350000.0
158,2017,65,ARTICHOKES ,5350.0,Tons ,0.33,1739.07,9304000.0
159,2017,81,ARTICHOKES ,84.0,Tons ,20.41,1714.29,144000.0
160,2017,991,ARTICHOKES ,921.0,Tons ,1.45,1334.42,1229000.0
162,2017,19,ASPARAGUS UNSPECIFIED ,3340.0,Tons ,1.01,3387.13,11313000.0
163,2017,53,ASPARAGUS UNSPECIFIED ,5870.0,Tons ,0.34,1980.07,11623000.0
164,2017,77,ASPARAGUS UNSPECIFIED ,2630.0,Tons ,1.42,3744.87,9849000.0
165,2017,991,ASPARAGUS UNSPECIFIED ,1371.0,Tons ,2.57,3520.06,4826000.0
167,2017,53,AVOCADOS ALL ,1180.0,Tons ,2.75,3239.83,3823000.0
168,2017,65,AVOCADOS ALL ,17700.0,Tons ,0.13,2258.36,39973000.0
169,2017,71,AVOCADOS ALL ,1470.0,Tons ,1.6,2349.66,3454000.0
170,2017,73,AVOCADOS ALL ,34500.0,Tons ,0.1,3541.74,122190000.0
171,2017,79,AVOCADOS ALL ,9570.0,Tons ,0.3,2852.14,27295000.0
172,2017,83,AVOCADOS ALL ,10500.0,Tons ,0.35,3676.76,38606000.0
173,2017,111,AVOCADOS ALL ,54300.0,Tons ,0.04,2185.64,118680000.0
174,2017,991,AVOCADOS ALL ,2126.0,Tons ,1.57,3331.14,7082000.0
176,2017,53,BARLEY FEED ,3560.0,Tons ,0.04,144.94,516000.0
177,2017,107,BARLEY FEED ,9830.0,Tons ,0.02,194.0,1907000.0
179,2017,29,BARLEY UNSPECIFIED ,3760.0,Tons ,0.05,202.13,760000.0
180,2017,47,BARLEY UNSPECIFIED ,3490.0,Tons ,0.05,180.8,631000.0
181,2017,79,BARLEY UNSPECIFIED ,10200.0,Tons ,0.02,172.65,1761000.0
182,2017,93,BARLEY UNSPECIFIED ,8650.0,Tons ,0.02,195.26,1689000.0
183,2017,991,BARLEY UNSPECIFIED ,8841.0,Tons ,0.02,202.27,1788300.0
185,2017,99,BEANS BLACKEYE (PEAS) ,1200.0,Tons ,0.77,925.0,1110000.0
186,2017,991,BEANS BLACKEYE (PEAS) ,826.0,Tons ,1.08,889.21,734488.0
188,2017,7,BEANS DRY EDIBLE UNSPECIFIED ,558.0,Tons ,1.97,1098.57,613000.0
189,2017,11,BEANS DRY EDIBLE UNSPECIFIED ,4330.0,Tons ,0.2,881.76,3818000.0
190,2017,21,BEANS DRY EDIBLE UNSPECIFIED ,600.0,Tons ,1.13,678.33,407000.0
191,2017,29,BEANS DRY EDIBLE UNSPECIFIED ,1490.0,Tons ,0.6,895.97,1335000.0
192,2017,53,BEANS DRY EDIBLE UNSPECIFIED ,723.0,Tons ,2.6,1879.67,1359000.0
193,2017,77,BEANS DRY EDIBLE UNSPECIFIED ,5100.0,Tons ,0.18,910.2,4642000.0
194,2017,81,BEANS DRY EDIBLE UNSPECIFIED ,75.0,Tons ,79.11,5933.33,445000.0
196,2017,95,BEANS DRY EDIBLE UNSPECIFIED ,3700.0,Tons ,0.29,1070.0,3959000.0
197,2017,99,BEANS DRY EDIBLE UNSPECIFIED ,248.0,Tons ,3.22,798.39,198000.0
198,2017,107,BEANS DRY EDIBLE UNSPECIFIED ,13400.0,Tons ,0.06,800.0,10720000.0
200,2017,991,BEANS DRY EDIBLE UNSPECIFIED ,21858.0,Tons ,0.04,819.75,17918000.0
202,2017,81,BEANS FAVA ,1290.0,Tons ,1.15,1484.5,1915000.0
205,2017,65,BEANS FRESH UNSPECIFIED ,6560.0,Tons ,0.26,1714.33,11246000.0
206,2017,99,BEANS FRESH UNSPECIFIED ,2070.0,Tons ,0.39,810.14,1677000.0
207,2017,111,BEANS FRESH UNSPECIFIED ,3830.0,Tons ,0.35,1356.92,5197000.0
208,2017,991,BEANS FRESH UNSPECIFIED ,4402.0,Tons ,0.17,769.63,3387900.0
210,2017,991,BEANS GARBANZO ,603.0,Tons ,1.49,897.84,541400.0
212,2017,991,BEANS KIDNEY RED ,254.0,Tons ,9.07,2303.15,585000.0
214,2017,99,BEANS LIMA BABY DRY ,656.0,Tons ,1.23,809.45,531000.0
215,2017,991,BEANS LIMA BABY DRY ,3320.0,Tons ,0.23,775.6,2575000.0
217,2017,47,BEANS LIMA LARGE DRY ,2690.0,Tons ,0.39,1041.64,2802000.0
218,2017,99,BEANS LIMA LARGE DRY ,8400.0,Tons ,0.15,1295.0,10878000.0
220,2017,77,BEANS LIMA UNSPECIFIED ,2870.0,Tons ,0.36,1034.49,2969000.0
221,2017,991,BEANS LIMA UNSPECIFIED ,943.0,Tons ,1.07,1007.42,950000.0
223,2017,991,BEANS PINK ,268.0,Tons ,5.97,1600.75,429000.0
225,2017,21,BEANS SEED ,769.0,Tons ,1.12,860.86,662000.0
226,2017,53,BEANS SEED ,667.0,Tons ,4.92,3280.36,2188000.0
227,2017,77,BEANS SEED ,592.0,Tons ,1.84,1091.22,646000.0
229,2017,991,BEANS SEED ,97.0,Tons ,10.73,1041.24,101000.0
231,2017,81,BEANS SNAP UNSPECIFIED ,165.0,Tons ,11.28,1860.61,307000.0
232,2017,85,BEANS SNAP UNSPECIFIED ,3770.0,Tons ,0.41,1551.72,5850000.0
233,2017,991,BEANS SNAP UNSPECIFIED ,10520.0,Tons ,0.17,1736.79,18271000.0
235,2017,111,BEETS GARDEN ,2700.0,Tons ,0.37,1005.19,2714000.0
236,2017,991,BEETS GARDEN ,52876.0,Tons ,0.0,227.71,12040430.0
238,2017,53,BERRIES BLACKBERRIES ,1980.0,Tons ,3.09,6110.1,12098000.0
239,2017,83,BERRIES BLACKBERRIES ,3570.0,Tons ,1.97,7043.98,25147000.0
240,2017,87,BERRIES BLACKBERRIES ,8010.0,Tons ,0.76,6070.79,48627000.0
241,2017,991,BERRIES BLACKBERRIES ,175.0,Tons ,31.1,5442.29,952400.0
243,2017,19,BERRIES BLUEBERRIES ,4100.0,Tons ,1.47,6017.07,24670000.0
244,2017,29,BERRIES BLUEBERRIES ,4710.0,Tons ,1.39,6557.32,30885000.0
245,2017,77,BERRIES BLUEBERRIES ,6990.0,Tons ,0.45,3126.18,21852000.0
246,2017,83,BERRIES BLUEBERRIES ,911.0,Tons ,10.57,9626.78,8770000.0
247,2017,107,BERRIES BLUEBERRIES ,7250.0,Tons ,0.81,5840.0,42340000.0
248,2017,111,BERRIES BLUEBERRIES ,2030.0,Tons ,5.04,10223.15,20753000.0
249,2017,991,BERRIES BLUEBERRIES ,439.0,Tons ,7.9,3466.74,1521900.0
251,2017,991,BERRIES BOYSENBERRIES ,8.0,Tons ,853.91,6831.25,54650.0
253,2017,73,BERRIES BUSHBERRIES UNSPECIFIED ,2340.0,Tons ,4.27,9982.91,23360000.0
254,2017,991,BERRIES BUSHBERRIES UNSPECIFIED ,8.0,Tons ,189.22,1513.75,12110.0
256,2017,53,BERRIES RASPBERRIES ,7200.0,Tons ,0.97,6970.0,50184000.0
257,2017,83,BERRIES RASPBERRIES ,6740.0,Tons ,1.12,7516.62,50662000.0
258,2017,87,BERRIES RASPBERRIES ,17300.0,Tons ,0.37,6423.58,111128000.0
259,2017,111,BERRIES RASPBERRIES ,64100.0,Tons ,0.04,2601.01,166725000.0
262,2017,53,BERRIES STRAWBERRIES FRESH MARKET ,440000.0,Tons ,0.0,1540.0,677600000.0
264,2017,67,BERRIES STRAWBERRIES FRESH MARKET ,360.0,Tons ,14.98,5394.44,1942000.0
265,2017,79,BERRIES STRAWBERRIES FRESH MARKET ,127000.0,Tons ,0.01,1574.63,199978000.0
266,2017,83,BERRIES STRAWBERRIES FRESH MARKET ,218000.0,Tons ,0.01,1642.39,358042000.0
267,2017,111,BERRIES STRAWBERRIES FRESH MARKET ,238000.0,Tons ,0.01,2466.47,587019000.0
272,2017,83,BERRIES STRAWBERRIES PROCESSING ,58700.0,Tons ,0.03,1685.98,98967000.0
273,2017,111,BERRIES STRAWBERRIES PROCESSING ,116000.0,Tons ,0.01,580.11,67293000.0
