,AcresBurned,Counties,CountyIds,Latitude,Longitude,ArchiveYear
0,257314.0,Tuolumne,55,37.857,-120.086,2013
1,30274.0,Los Angeles,19,34.585595,-118.423176,2013
2,27531.0,Riverside,33,33.7095,-116.72885,2013
3,27440.0,Placer,31,39.12,-120.65,2013
4,24251.0,Ventura,56,0.0,0.0,2013
5,22992.0,Fresno,10,37.279,-119.318,2013
6,20292.0,Riverside,33,33.86157,-116.90427,2013
7,14754.0,Siskiyou,47,41.32,-123.176,2013
8,12503.0,Humboldt,12,41.035,-123.488,2013
9,11429.0,Tehama,52,40.04263,-121.85397,2013
10,8073.0,Shasta,45,40.498332,-122.535496,2013
11,7055.0,San Diego,37,32.95435,-116.47381,2013
12,6965.0,Tehama,52,40.190062,-121.595555,2013
13,4346.0,Kern,"15,56",34.7861,-118.9411,2013
14,4346.0,Ventura,"15,56",34.7861,-118.9411,2013
15,3505.0,Sonoma,49,38.8167,-122.8498,2013
16,3166.0,Riverside,33,34.288877,-116.941311,2013
17,3111.0,Contra Costa,7,37.90757,-121.882582,2013
18,2781.0,San Diego,37,33.12111,-116.52579,2013
19,2462.0,Butte,4,39.446268,-121.38236,2013
20,2236.0,San Diego,37,33.341,-117.3092,2013
21,2060.0,Tulare,54,36.208,-118.444,2013
22,1984.0,Santa Barbara,42,34.55048,-119.82429,2013
23,1708.0,Mariposa,22,37.58202,-119.91071,2013
24,1383.0,Riverside,"33,",33.62236,-117.40288,2013
25,1271.0,San Diego,37,33.04458,-116.5209,2013
26,1070.0,Tuolumne,55,38.25108,-120.02778,2013
27,917.0,Monterey,27,0.0,0.0,2013
28,794.0,Kern,15,35.707,-118.588,2013
29,712.0,Kern,15,34.882,-118.9194,2013
30,712.0,Los Angeles,19,34.49149,-118.610044,2013
31,612.0,Kern,15,34.90327,-118.93388,2013
32,572.0,El Dorado,9,38.774,-120.298,2013
33,534.0,San Bernardino,36,34.071556,-117.048397,2013
34,513.0,Plumas,32,40.00842,-120.764666,2013
35,510.0,Riverside,33,33.894055,-116.855019,2013
36,502.0,Modoc,25,41.2415,-121.035,2013
37,500.0,San Luis Obispo,40,35.15832,-120.05131,2013
38,492.0,Contra Costa,7,37.96866,-121.91453,2013
39,482.0,Madera,20,37.015575,-119.78106,2013
40,413.0,San Bernardino,36,34.302,-117.598,2013
41,406.0,Inyo,14,36.602575,-118.01651,2013
42,376.0,Napa,28,38.628,-122.289,2013
43,354.0,San Benito,35,37.160346,-120.937494,2013
44,311.0,Riverside,33,0.0,0.0,2013
45,305.0,Butte,4,39.439,-121.497,2013
46,303.0,San Joaquin,39,38.04993,-120.90325,2013
47,298.0,Butte,4,39.434183,-121.576804,2013
48,296.0,Lake,17,0.0,0.0,2013
49,274.0,Contra Costa,7,39.90465,-121.74367,2013
50,274.0,Madera,20,37.116295,-119.635004,2013
51,268.0,Los Angeles,19,34.149,-117.908,2013
52,263.0,San Diego,37,32.710918,-116.746023,2013
53,243.0,San Bernardino,36,34.35,-117.62,2013
54,240.0,Alameda,1,37.775057,-121.737213,2013
55,237.0,Placer,31,38.729297,-121.380862,2013
56,226.0,Glenn,11,0.0,0.0,2013
57,217.0,Glenn,11,39.514139,-122.560862,2013
58,213.0,Monterey,27,0.0,0.0,2013
59,200.0,San Bernardino,36,34.2,-117.417,2013
60,200.0,Tehama,52,40.012398,-122.079871,2013
61,196.0,Shasta,45,40.5445,-121.3754,2013
62,195.0,Tehama,52,39.961309,-122.330879,2013
63,190.0,Napa,28,38.382,-122.311,2013
64,170.0,Santa Barbara,42,34.611824,-120.074655,2013
65,163.0,Yolo,57,38.67479,-122.08725,2013
66,163.0,El Dorado,"9,34",38.63987,-121.08438,2013
67,163.0,Sacramento,"9,34",38.63987,-121.08438,2013
68,159.0,Sonoma,49,38.34599,-122.6503,2013
